date,day_end_ts,cumulative_realized_net_usdc,open_mtm_net_usdc,combined_equity_net_usdc,open_positions_count,marked_open_positions_count,mark_coverage_share
2024-08-14,2024-08-14T23:59:59+00:00,0.0,0.0,0.0,1,0,0.0
2024-08-15,2024-08-15T23:59:59+00:00,0.0,0.0,0.0,1,0,0.0
2024-08-16,2024-08-16T23:59:59+00:00,0.0,0.0,0.0,1,0,0.0
2024-08-17,2024-08-17T23:59:59+00:00,0.0,0.0,0.0,1,0,0.0
2024-08-18,2024-08-18T23:59:59+00:00,0.0,0.0,0.0,1,0,0.0
2024-08-19,2024-08-19T23:59:59+00:00,0.0,0.0,0.0,1,0,0.0
2024-08-20,2024-08-20T23:59:59+00:00,0.0,0.0,0.0,2,0,0.0
2024-08-21,2024-08-21T23:59:59+00:00,-84.26054583489041,0.0,-84.26054583489041,1,0,0.0
2024-08-22,2024-08-22T23:59:59+00:00,-84.26054583489041,0.0,-84.26054583489041,4,0,0.0
2024-08-23,2024-08-23T23:59:59+00:00,-179.00816194304514,0.0,-179.00816194304514,4,0,0.0
2024-08-24,2024-08-24T23:59:59+00:00,-83.01610375209412,0.0,-83.01610375209412,5,0,0.0
2024-08-25,2024-08-25T23:59:59+00:00,-83.01610375209412,0.0,-83.01610375209412,5,0,0.0
2024-08-26,2024-08-26T23:59:59+00:00,-83.01610375209412,0.0,-83.01610375209412,5,0,0.0
2024-08-27,2024-08-27T23:59:59+00:00,-83.01610375209412,0.0,-83.01610375209412,5,0,0.0
2024-08-28,2024-08-28T23:59:59+00:00,-83.01610375209412,0.0,-83.01610375209412,5,0,0.0
2024-08-29,2024-08-29T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-08-30,2024-08-30T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-08-31,2024-08-31T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-01,2024-09-01T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-02,2024-09-02T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-03,2024-09-03T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-04,2024-09-04T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-05,2024-09-05T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-06,2024-09-06T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-07,2024-09-07T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-08,2024-09-08T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,4,0,0.0
2024-09-09,2024-09-09T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-10,2024-09-10T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-11,2024-09-11T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-12,2024-09-12T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-13,2024-09-13T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-14,2024-09-14T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-15,2024-09-15T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-16,2024-09-16T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-17,2024-09-17T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-18,2024-09-18T23:59:59+00:00,-84.10781820153878,0.0,-84.10781820153878,9,0,0.0
2024-09-19,2024-09-19T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,10,1,0.1
2024-09-20,2024-09-20T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,11,1,0.09090909090909091
2024-09-21,2024-09-21T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,11,1,0.09090909090909091
2024-09-22,2024-09-22T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,11,1,0.09090909090909091
2024-09-23,2024-09-23T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,11,1,0.09090909090909091
2024-09-24,2024-09-24T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-09-25,2024-09-25T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-09-26,2024-09-26T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-09-27,2024-09-27T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-09-28,2024-09-28T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-09-29,2024-09-29T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-09-30,2024-09-30T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-01,2024-10-01T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-02,2024-10-02T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-03,2024-10-03T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-04,2024-10-04T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-05,2024-10-05T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-06,2024-10-06T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-07,2024-10-07T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-08,2024-10-08T23:59:59+00:00,-84.10781820153878,-43.553595112499906,-127.66141331403868,12,1,0.08333333333333333
2024-10-09,2024-10-09T23:59:59+00:00,-412.44020192493645,142.90197772192568,-269.53822420301077,13,3,0.23076923076923078
2024-10-10,2024-10-10T23:59:59+00:00,-412.44020192493645,-188.0257545405744,-600.4659564655109,16,4,0.25
2024-10-11,2024-10-11T23:59:59+00:00,-172.0293145405618,142.90197772192568,-29.127336818636138,19,3,0.15789473684210525
2024-10-12,2024-10-12T23:59:59+00:00,-172.0293145405618,142.90197772192568,-29.127336818636138,19,3,0.15789473684210525
2024-10-13,2024-10-13T23:59:59+00:00,-176.3825707905618,142.90197772192568,-33.480593068636125,22,3,0.13636363636363635
2024-10-14,2024-10-14T23:59:59+00:00,-176.03059570790978,142.90197772192568,-33.12861798598411,23,3,0.13043478260869565
2024-10-15,2024-10-15T23:59:59+00:00,-75.30718194318332,142.90197772192568,67.59479577874235,23,3,0.13043478260869565
2024-10-16,2024-10-16T23:59:59+00:00,-105.97685460224275,127.73219859254311,21.75534399030036,23,4,0.17391304347826086
2024-10-17,2024-10-17T23:59:59+00:00,-105.97685460224275,127.73219859254311,21.75534399030036,23,4,0.17391304347826086
2024-10-18,2024-10-18T23:59:59+00:00,-129.3492489772427,127.73219859254311,-1.6170503846995814,24,4,0.16666666666666666
2024-10-19,2024-10-19T23:59:59+00:00,-182.50634371385263,127.73219859254311,-54.774145121309516,24,4,0.16666666666666666
2024-10-20,2024-10-20T23:59:59+00:00,-182.50634371385263,127.73219859254311,-54.774145121309516,25,4,0.16
2024-10-21,2024-10-21T23:59:59+00:00,-182.50634371385263,127.73219859254311,-54.774145121309516,25,4,0.16
2024-10-22,2024-10-22T23:59:59+00:00,-1365.5582742992071,127.73219859254311,-1237.8260757066641,23,4,0.17391304347826086
2024-10-23,2024-10-23T23:59:59+00:00,-363.7173574283956,127.73219859254311,-235.98515883585247,22,4,0.18181818181818182
2024-10-24,2024-10-24T23:59:59+00:00,-557.1470167517249,127.73219859254311,-429.4148181591818,22,4,0.18181818181818182
2024-10-25,2024-10-25T23:59:59+00:00,-557.1470167517249,127.73219859254311,-429.4148181591818,22,4,0.18181818181818182
2024-10-26,2024-10-26T23:59:59+00:00,816.0748090668075,127.73219859254311,943.8070076593506,22,4,0.18181818181818182
2024-10-27,2024-10-27T23:59:59+00:00,802.8467028168075,127.73219859254311,930.5789014093506,23,4,0.17391304347826086
2024-10-28,2024-10-28T23:59:59+00:00,802.8467028168075,92.43441731910642,895.2811201359139,26,5,0.19230769230769232
2024-10-29,2024-10-29T23:59:59+00:00,802.8467028168075,87.98811544385578,890.8348182606633,27,5,0.18518518518518517
2024-10-30,2024-10-30T23:59:59+00:00,802.8467028168075,87.98811544385578,890.8348182606633,27,5,0.18518518518518517
2024-10-31,2024-10-31T23:59:59+00:00,802.8467028168075,87.98811544385578,890.8348182606633,28,5,0.17857142857142858
2024-11-01,2024-11-01T23:59:59+00:00,802.8467028168075,87.98811544385578,890.8348182606633,28,5,0.17857142857142858
2024-11-02,2024-11-02T23:59:59+00:00,802.8467028168075,87.98811544385578,890.8348182606633,29,5,0.1724137931034483
2024-11-03,2024-11-03T23:59:59+00:00,802.8467028168075,87.98811544385578,890.8348182606633,29,5,0.1724137931034483
2024-11-04,2024-11-04T23:59:59+00:00,837.8790676259684,87.98811544385578,925.8671830698243,28,5,0.17857142857142858
2024-11-05,2024-11-05T23:59:59+00:00,837.8790676259684,84.76116981029368,922.6402374362622,30,6,0.2
2024-11-06,2024-11-06T23:59:59+00:00,3949.1218128249816,84.76116981029368,4033.8829826352753,35,6,0.17142857142857143
2024-11-07,2024-11-07T23:59:59+00:00,3949.1218128249816,84.76116981029368,4033.8829826352753,35,6,0.17142857142857143
2024-11-08,2024-11-08T23:59:59+00:00,3938.6351465777816,84.76116981029368,4023.3963163880753,35,6,0.17142857142857143
2024-11-09,2024-11-09T23:59:59+00:00,3938.6351465777816,84.76116981029368,4023.3963163880753,35,6,0.17142857142857143
2024-11-10,2024-11-10T23:59:59+00:00,3938.6351465777816,84.76116981029368,4023.3963163880753,35,6,0.17142857142857143
2024-11-11,2024-11-11T23:59:59+00:00,3938.6351465777816,84.76116981029368,4023.3963163880753,35,6,0.17142857142857143
2024-11-12,2024-11-12T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,36,7,0.19444444444444445
2024-11-13,2024-11-13T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,37,7,0.1891891891891892
2024-11-14,2024-11-14T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,37,7,0.1891891891891892
2024-11-15,2024-11-15T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,37,7,0.1891891891891892
2024-11-16,2024-11-16T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,37,7,0.1891891891891892
2024-11-17,2024-11-17T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,37,7,0.1891891891891892
2024-11-18,2024-11-18T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,37,7,0.1891891891891892
2024-11-19,2024-11-19T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,38,7,0.18421052631578946
2024-11-20,2024-11-20T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,39,7,0.1794871794871795
2024-11-21,2024-11-21T23:59:59+00:00,3938.6351465777816,65.28004881029372,4003.9151953880755,39,7,0.1794871794871795
2024-11-22,2024-11-22T23:59:59+00:00,3938.6351465777816,-370.1558315404551,3568.4793150373266,40,8,0.2
2024-11-23,2024-11-23T23:59:59+00:00,3938.6351465777816,-370.1558315404551,3568.4793150373266,40,8,0.2
2024-11-24,2024-11-24T23:59:59+00:00,3938.6351465777816,-370.1558315404551,3568.4793150373266,40,8,0.2
2024-11-25,2024-11-25T23:59:59+00:00,3938.6351465777816,-370.1558315404551,3568.4793150373266,40,8,0.2
2024-11-26,2024-11-26T23:59:59+00:00,3938.6351465777816,-370.1558315404551,3568.4793150373266,40,8,0.2
2024-11-27,2024-11-27T23:59:59+00:00,3938.6351465777816,-370.1558315404551,3568.4793150373266,40,8,0.2
2024-11-28,2024-11-28T23:59:59+00:00,3960.488911128121,-370.1558315404551,3590.333079587666,39,8,0.20512820512820512
2024-11-29,2024-11-29T23:59:59+00:00,3960.488911128121,-370.1558315404551,3590.333079587666,39,8,0.20512820512820512
2024-11-30,2024-11-30T23:59:59+00:00,3960.488911128121,-370.1558315404551,3590.333079587666,39,8,0.20512820512820512
2024-12-01,2024-12-01T23:59:59+00:00,2523.2151618002176,-370.1558315404551,2153.0593302597626,39,8,0.20512820512820512
2024-12-02,2024-12-02T23:59:59+00:00,2523.2151618002176,-370.1558315404551,2153.0593302597626,39,8,0.20512820512820512
2024-12-03,2024-12-03T23:59:59+00:00,2523.2151618002176,-370.1558315404551,2153.0593302597626,39,8,0.20512820512820512
2024-12-04,2024-12-04T23:59:59+00:00,2523.2151618002176,-370.1558315404551,2153.0593302597626,39,8,0.20512820512820512
2024-12-05,2024-12-05T23:59:59+00:00,2523.2151618002176,-370.1558315404551,2153.0593302597626,39,8,0.20512820512820512
2024-12-06,2024-12-06T23:59:59+00:00,2523.2151618002176,-370.1558315404551,2153.0593302597626,39,8,0.20512820512820512
2024-12-07,2024-12-07T23:59:59+00:00,3950.1507087311907,-370.1558315404551,3579.9948771907357,39,8,0.20512820512820512
2024-12-08,2024-12-08T23:59:59+00:00,3950.1507087311907,-370.1558315404551,3579.9948771907357,41,8,0.1951219512195122
2024-12-09,2024-12-09T23:59:59+00:00,3950.1507087311907,-370.1558315404551,3579.9948771907357,41,8,0.1951219512195122
2024-12-10,2024-12-10T23:59:59+00:00,3950.1507087311907,-370.1558315404551,3579.9948771907357,42,8,0.19047619047619047
2024-12-11,2024-12-11T23:59:59+00:00,3950.1507087311907,-370.1558315404551,3579.9948771907357,42,8,0.19047619047619047
2024-12-12,2024-12-12T23:59:59+00:00,5854.282336890277,-370.1558315404551,5484.126505349822,41,8,0.1951219512195122
2024-12-13,2024-12-13T23:59:59+00:00,5854.282336890277,-370.1558315404551,5484.126505349822,41,8,0.1951219512195122
2024-12-14,2024-12-14T23:59:59+00:00,5854.282336890277,-371.0448315404551,5483.237505349822,43,9,0.20930232558139536
2024-12-15,2024-12-15T23:59:59+00:00,5854.282336890277,-428.2200650060797,5426.062271884198,45,11,0.24444444444444444
2024-12-16,2024-12-16T23:59:59+00:00,5854.282336890277,-428.2200650060797,5426.062271884198,45,11,0.24444444444444444
2024-12-17,2024-12-17T23:59:59+00:00,6104.4047238353405,-428.2200650060797,5676.184658829261,44,11,0.25
2024-12-18,2024-12-18T23:59:59+00:00,6104.4047238353405,-428.2200650060797,5676.184658829261,44,11,0.25
2024-12-19,2024-12-19T23:59:59+00:00,6104.4047238353405,-428.2200650060797,5676.184658829261,44,11,0.25
2024-12-20,2024-12-20T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,45,12,0.26666666666666666
2024-12-21,2024-12-21T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-22,2024-12-22T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-23,2024-12-23T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-24,2024-12-24T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-25,2024-12-25T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-26,2024-12-26T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-27,2024-12-27T23:59:59+00:00,6104.4047238353405,-517.5047710837932,5586.899952751547,46,12,0.2608695652173913
2024-12-28,2024-12-28T23:59:59+00:00,6104.4047238353405,-534.9311139862298,5569.47360984911,47,13,0.2765957446808511
2024-12-29,2024-12-29T23:59:59+00:00,6104.4047238353405,-534.9311139862298,5569.47360984911,47,13,0.2765957446808511
2024-12-30,2024-12-30T23:59:59+00:00,6413.303726163178,-517.5047710837932,5895.7989550793845,46,12,0.2608695652173913
2024-12-31,2024-12-31T23:59:59+00:00,6413.303726163178,-517.5047710837932,5895.7989550793845,46,12,0.2608695652173913
2025-01-01,2025-01-01T23:59:59+00:00,6413.303726163178,-517.5047710837932,5895.7989550793845,46,12,0.2608695652173913
2025-01-02,2025-01-02T23:59:59+00:00,6422.430851163178,-502.8989230487548,5919.531928114423,46,12,0.2608695652173913
2025-01-03,2025-01-03T23:59:59+00:00,6422.430851163178,-502.8989230487548,5919.531928114423,46,12,0.2608695652173913
2025-01-04,2025-01-04T23:59:59+00:00,6422.430851163178,-525.7962702487547,5896.634580914423,47,13,0.2765957446808511
2025-01-05,2025-01-05T23:59:59+00:00,6422.430851163178,-553.2567292537406,5869.174121909437,48,14,0.2916666666666667
2025-01-06,2025-01-06T23:59:59+00:00,7757.410476101292,-566.9735772887791,7190.436898812513,47,13,0.2765957446808511
2025-01-07,2025-01-07T23:59:59+00:00,7757.410476101292,-1001.2245782643183,6756.185897836974,48,14,0.2916666666666667
2025-01-08,2025-01-08T23:59:59+00:00,10784.346107987105,-639.901408888779,10144.444699098325,49,14,0.2857142857142857
2025-01-09,2025-01-09T23:59:59+00:00,10784.346107987105,-639.901408888779,10144.444699098325,49,14,0.2857142857142857
2025-01-10,2025-01-10T23:59:59+00:00,10784.346107987105,-639.901408888779,10144.444699098325,49,14,0.2857142857142857
2025-01-11,2025-01-11T23:59:59+00:00,10784.346107987105,-643.816221388779,10140.529886598326,50,15,0.3
2025-01-12,2025-01-12T23:59:59+00:00,11019.895074184858,-643.816221388779,10376.07885279608,49,15,0.30612244897959184
2025-01-13,2025-01-13T23:59:59+00:00,11019.895074184858,-643.816221388779,10376.07885279608,50,15,0.3
2025-01-14,2025-01-14T23:59:59+00:00,11019.895074184858,-643.816221388779,10376.07885279608,53,15,0.2830188679245283
2025-01-15,2025-01-15T23:59:59+00:00,11019.895074184858,-703.1620239201916,10316.733050264667,54,16,0.2962962962962963
2025-01-16,2025-01-16T23:59:59+00:00,11019.895074184858,-687.664090220276,10332.230983964582,54,16,0.2962962962962963
2025-01-17,2025-01-17T23:59:59+00:00,11019.895074184858,-633.3950946705712,10386.499979514287,56,17,0.30357142857142855
2025-01-18,2025-01-18T23:59:59+00:00,11019.895074184858,-633.3950946705712,10386.499979514287,56,17,0.30357142857142855
2025-01-19,2025-01-19T23:59:59+00:00,11019.895074184858,-633.3950946705712,10386.499979514287,57,17,0.2982456140350877
2025-01-20,2025-01-20T23:59:59+00:00,11825.139273563074,-692.1578447549135,11132.981428808162,58,19,0.3275862068965517
2025-01-21,2025-01-21T23:59:59+00:00,13378.851200241874,-595.8182703445133,12783.032929897361,56,17,0.30357142857142855
2025-01-22,2025-01-22T23:59:59+00:00,13378.851200241874,-595.8182703445133,12783.032929897361,56,17,0.30357142857142855
2025-01-23,2025-01-23T23:59:59+00:00,13378.851200241874,-627.9839874992684,12750.867212742605,58,18,0.3103448275862069
2025-01-24,2025-01-24T23:59:59+00:00,13378.851200241874,-2275.2087273992684,11103.642472842606,60,19,0.31666666666666665
2025-01-25,2025-01-25T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,64,21,0.328125
2025-01-26,2025-01-26T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,64,21,0.328125
2025-01-27,2025-01-27T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,64,21,0.328125
2025-01-28,2025-01-28T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,64,21,0.328125
2025-01-29,2025-01-29T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,64,21,0.328125
2025-01-30,2025-01-30T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,64,21,0.328125
2025-01-31,2025-01-31T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,65,21,0.3230769230769231
2025-02-01,2025-02-01T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,65,21,0.3230769230769231
2025-02-02,2025-02-02T23:59:59+00:00,13378.851200241874,-2291.179914899268,11087.671285342605,69,21,0.30434782608695654
2025-02-03,2025-02-03T23:59:59+00:00,13685.966975586023,-2268.2825676992684,11417.684407886754,69,20,0.2898550724637681
2025-02-04,2025-02-04T23:59:59+00:00,13667.757080586023,-2563.271699711768,11104.485380874255,72,23,0.3194444444444444
2025-02-05,2025-02-05T23:59:59+00:00,13667.757080586023,-2563.271699711768,11104.485380874255,72,23,0.3194444444444444
2025-02-06,2025-02-06T23:59:59+00:00,13834.58781845999,-2563.271699711768,11271.316118748222,71,23,0.323943661971831
2025-02-07,2025-02-07T23:59:59+00:00,13834.58781845999,-2563.271699711768,11271.316118748222,72,23,0.3194444444444444
2025-02-08,2025-02-08T23:59:59+00:00,13834.58781845999,-2563.271699711768,11271.316118748222,72,23,0.3194444444444444
2025-02-09,2025-02-09T23:59:59+00:00,13834.58781845999,-2613.795074711768,11220.792743748221,73,24,0.3287671232876712
2025-02-10,2025-02-10T23:59:59+00:00,13834.58781845999,-2613.795074711768,11220.792743748221,73,24,0.3287671232876712
2025-02-11,2025-02-11T23:59:59+00:00,13834.58781845999,-2613.795074711768,11220.792743748221,73,24,0.3287671232876712
2025-02-12,2025-02-12T23:59:59+00:00,13834.58781845999,-2613.795074711768,11220.792743748221,74,24,0.32432432432432434
2025-02-13,2025-02-13T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,76,25,0.32894736842105265
2025-02-14,2025-02-14T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,76,25,0.32894736842105265
2025-02-15,2025-02-15T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,76,25,0.32894736842105265
2025-02-16,2025-02-16T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,76,25,0.32894736842105265
2025-02-17,2025-02-17T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,76,25,0.32894736842105265
2025-02-18,2025-02-18T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,79,25,0.31645569620253167
2025-02-19,2025-02-19T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,79,25,0.31645569620253167
2025-02-20,2025-02-20T23:59:59+00:00,13834.58781845999,-2588.1449656651675,11246.442852794822,80,25,0.3125
2025-02-21,2025-02-21T23:59:59+00:00,17094.213646242417,-2586.2697070814556,14507.943939160961,81,26,0.32098765432098764
2025-02-22,2025-02-22T23:59:59+00:00,17110.77239828334,-2820.1766537975136,14290.595744485829,80,27,0.3375
2025-02-23,2025-02-23T23:59:59+00:00,17056.012047072272,-2820.1766537975136,14235.83539327476,81,27,0.3333333333333333
2025-02-24,2025-02-24T23:59:59+00:00,17056.012047072272,-2820.1766537975136,14235.83539327476,81,27,0.3333333333333333
2025-02-25,2025-02-25T23:59:59+00:00,17056.012047072272,-2820.1766537975136,14235.83539327476,84,27,0.32142857142857145
2025-02-26,2025-02-26T23:59:59+00:00,17056.012047072272,-2820.1766537975136,14235.83539327476,84,27,0.32142857142857145
2025-02-27,2025-02-27T23:59:59+00:00,17056.012047072272,-2820.1766537975136,14235.83539327476,85,27,0.3176470588235294
2025-02-28,2025-02-28T23:59:59+00:00,18671.52683155404,-2719.859971910014,15951.666859644029,83,26,0.3132530120481928
2025-03-01,2025-03-01T23:59:59+00:00,18654.41681910428,-2721.735230493726,15932.681588610554,81,25,0.30864197530864196
2025-03-02,2025-03-02T23:59:59+00:00,18938.46433931424,-2721.735230493726,16216.729108820513,81,25,0.30864197530864196
2025-03-03,2025-03-03T23:59:59+00:00,18938.46433931424,-2721.735230493726,16216.729108820513,81,25,0.30864197530864196
2025-03-04,2025-03-04T23:59:59+00:00,18938.46433931424,-2721.735230493726,16216.729108820513,83,25,0.30120481927710846
2025-03-05,2025-03-05T23:59:59+00:00,18895.159772436065,-2721.735230493726,16173.424541942339,83,25,0.30120481927710846
2025-03-06,2025-03-06T23:59:59+00:00,18895.159772436065,-2721.735230493726,16173.424541942339,83,25,0.30120481927710846
2025-03-07,2025-03-07T23:59:59+00:00,19024.653390879215,-2721.735230493726,16302.918160385489,83,25,0.30120481927710846
